Tenant,Org,MA Public Firm TTC to PIT PD Converter,MA Sovereign TTC PD to PIT PD Converter,MA Private Firm TTC to PIT PD Converter,MA CI Loss Rate Model,MA Expected Consumer Credit Losses,MA CRE Loss Rate Model,Commercial Mortgage Metrics,Commercial Mortgage Metrics Co-op,Commercial Mortgage Metrics REIS,Commercial Mortgage Metrics Co-op REIS,MA Structured Analytics,MA Sovereign TTC to PIT PD Converter,MA Sovereign TTC to PIT PD Converter 9.1,Mortgage Portfolio Analyzer,Auto Portfolio Analyzer,MA Muni Loss Forecast Model,MA Municipal Loss Forecast Model,MA CI Proxy PD,MA CI Proxy LGD,RiskCalc LGD,RiskCalc PD CCA,RiskCalc PD FSO,MA Expected Consumer Credit Losses Standard,Mortgage Portfolio Analyzer-Custom Cure Rate,MA Structured Analytics - Aegon - 1,MA Structured Analytics - Aegon - 2,MA Structured Analytics - Aegon - 3,MA Structured Analytics - Aegon - 4,MA Structured Analytics - Aegon - 5,MIS Corporate LGD,MIS US Municipal Bond LGD,MIS Sovereign PD,MIS Sovereign LGD,MIS Structured Finance LGD,MIS Structured Finance PD,MIS US Municipal Bond PD,MIS Idealized Cumulative Expected Default Rates,MA Historical Loss Analyzer,MA Historical Loss Analyzer for CECL Calibration,MA Historical Loss Analyzer Qualitative Adjustment,Portfolio Analyzer Credit Cards,Portfolio Analyzer Personal Loans,Portfolio Analyzer Student Loans,CreditEdge 9.1,Auto Lease Portfolio Analyzer,MA C&I Loss Rate Model,MA Private Firm TTC Rating to TTC PD,GCorr 2019 with Sovereign,GCorr 2020,GCorr 2021,GCorr 2022,MA Data Buffet Scenarios,Auto Portfolio Analyzer - Alliant,Auto Portfolio Analyzer - FirstBank Puerto Rico,Commercial Mortgage Metrics REIS 2,Cluster,Internal,Updated date,Product-IS,Product-CRA,CF Scenario-US,US National,US_Monthly,Int_Quarterly,Int_Monthly,State-MSA,State-MSA-Monthly,MIS Corporate LGD long run,SFTP,securities solution,Product-PS,CMO Custom Lookup,MA EL RBC PD LGD Rating - Forecasting,MA EDFX Model
0014000000wCNA4,Boeing Employees Credit Union,TRUE,TRUE,TRUE,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,High,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,,
0014000000NXqIG,Brookline,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000ZfzE6,Cadence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000gDsCT,Cambridge and Counties Bank,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,IGBR#IWRLD,,,,,,,,,,
0014000000NY0SF,Caterpillar Financial Services Corporation,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,International,,,,,,,,,,
0014000000NXrGJ,CIT,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,International,,TRUE,,,,,,,,
0014000000NXrKs,Citizens Business Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000NXrP5,City National Bank of Florida,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0013300001eOeo3,Coastal States Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,SC#GA,,TRUE,,,,,,
0014000000daBrN,Customer's Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000NXqPp,Dell,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,IAUS#ICAN#IDEU#IEUZN#IFRA#IGBR#IITA#IMEX#IWRLD,,,,,,,,,,
0013300001n4xpF,Elevations Credit Union,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
0014000000mGmSJ,Enstar Group Limited,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,International,International,,,TRUE,,TRUE,,,,
001f300001uAlWu,Ent Credit Union,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,
0013300001orHa5,EverTrust Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001khFg1,Facebook,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,
0013300001eOeqr,Farm Credit Bank Texas,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Medium,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0014000000qUD0M,Fineco,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,IAUT#IBEL#ICYP#IDEU#IESP#IEST#IEUZN#IFIN#IFRA#IGRC#IIRL#IITA#ILTU#ILUX#ILVA#IMLT#INLD#IPRT#ISVK#ISVN#IWRLD,,,,,,,,,,
0013300001pK8zE,First Citizens National Bank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,,,,,,,,,
0013300001eOet3,First Foundation,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Base,,3/1/2022,TRUE,,,TRUE,,,,TRUE,,,,,,,,
